conn_name,conn_type,zone-loc,edge
1,sheetingcorner,A1,2
2,sheetinggable,A2,0
3,sheetinggable,A3,0
4,sheetinggable,A4,0
5,sheetinggable,A5,0
6,sheetinggable,A6,0
7,sheetinggable,A7,0
8,sheetingcorner,A8,1
9,sheetingcorner,A9,2
10,sheetinggable,A10,0
11,sheetinggable,A11,0
12,sheetinggable,A12,0
13,sheetinggable,A13,0
14,sheetinggable,A14,0
15,sheetinggable,A15,0
16,sheetingcorner,A16,1
17,sheetingeave,B1,2
18,sheeting,B2,0
19,sheeting,B3,0
20,sheeting,B4,0
21,sheeting,B5,0
22,sheeting,B6,0
23,sheeting,B7,0
24,sheetingeave,B8,1
25,sheetingeave,B9,2
26,sheeting,B10,0
27,sheeting,B11,0
28,sheeting,B12,0
29,sheeting,B13,0
30,sheeting,B14,0
31,sheeting,B15,0
32,sheetingeave,B16,1
33,sheetingeave,C1,2
34,sheeting,C2,0
35,sheeting,C3,0
36,sheeting,C4,0
37,sheeting,C5,0
38,sheeting,C6,0
39,sheeting,C7,0
40,sheetingeave,C8,1
41,sheetingeave,C9,2
42,sheeting,C10,0
43,sheeting,C11,0
44,sheeting,C12,0
45,sheeting,C13,0
46,sheeting,C14,0
47,sheeting,C15,0
48,sheetingeave,C16,1
49,sheetingeave,D1,2
50,sheeting,D2,0
51,sheeting,D3,0
52,sheeting,D4,0
53,sheeting,D5,0
54,sheeting,D6,0
55,sheeting,D7,0
56,sheetingeave,D8,1
57,sheetingeave,D9,2
58,sheeting,D10,0
59,sheeting,D11,0
60,sheeting,D12,0
61,sheeting,D13,0
62,sheeting,D14,0
63,sheeting,D15,0
64,sheetingeave,D16,1
65,sheetingeave,E1,2
66,sheeting,E2,0
67,sheeting,E3,0
68,sheeting,E4,0
69,sheeting,E5,0
70,sheeting,E6,0
71,sheeting,E7,0
72,sheetingeave,E8,1
73,sheetingeave,E9,2
74,sheeting,E10,0
75,sheeting,E11,0
76,sheeting,E12,0
77,sheeting,E13,0
78,sheeting,E14,0
79,sheeting,E15,0
80,sheetingeave,E16,1
81,sheetingeave,F1,2
82,sheeting,F2,0
83,sheeting,F3,0
84,sheeting,F4,0
85,sheeting,F5,0
86,sheeting,F6,0
87,sheeting,F7,0
88,sheetingeave,F8,1
89,sheetingeave,F9,2
90,sheeting,F10,0
91,sheeting,F11,0
92,sheeting,F12,0
93,sheeting,F13,0
94,sheeting,F14,0
95,sheeting,F15,0
96,sheetingeave,F16,1
97,sheetingeave,G1,2
98,sheeting,G2,0
99,sheeting,G3,0
100,sheeting,G4,0
101,sheeting,G5,0
102,sheeting,G6,0
103,sheeting,G7,0
104,sheetingeave,G8,1
105,sheetingeave,G9,2
106,sheeting,G10,0
107,sheeting,G11,0
108,sheeting,G12,0
109,sheeting,G13,0
110,sheeting,G14,0
111,sheeting,G15,0
112,sheetingeave,G16,1
113,sheetingeave,H1,2
114,sheeting,H2,0
115,sheeting,H3,0
116,sheeting,H4,0
117,sheeting,H5,0
118,sheeting,H6,0
119,sheeting,H7,0
120,sheetingeave,H8,1
121,sheetingeave,H9,2
122,sheeting,H10,0
123,sheeting,H11,0
124,sheeting,H12,0
125,sheeting,H13,0
126,sheeting,H14,0
127,sheeting,H15,0
128,sheetingeave,H16,1
129,sheetingeave,I1,2
130,sheeting,I2,0
131,sheeting,I3,0
132,sheeting,I4,0
133,sheeting,I5,0
134,sheeting,I6,0
135,sheeting,I7,0
136,sheetingeave,I8,1
137,sheetingeave,I9,2
138,sheeting,I10,0
139,sheeting,I11,0
140,sheeting,I12,0
141,sheeting,I13,0
142,sheeting,I14,0
143,sheeting,I15,0
144,sheetingeave,I16,1
145,sheetingeave,J1,2
146,sheeting,J2,0
147,sheeting,J3,0
148,sheeting,J4,0
149,sheeting,J5,0
150,sheeting,J6,0
151,sheeting,J7,0
152,sheetingeave,J8,1
153,sheetingeave,J9,2
154,sheeting,J10,0
155,sheeting,J11,0
156,sheeting,J12,0
157,sheeting,J13,0
158,sheeting,J14,0
159,sheeting,J15,0
160,sheetingeave,J16,1
161,sheetingeave,K1,2
162,sheeting,K2,0
163,sheeting,K3,0
164,sheeting,K4,0
165,sheeting,K5,0
166,sheeting,K6,0
167,sheeting,K7,0
168,sheetingeave,K8,1
169,sheetingeave,K9,2
170,sheeting,K10,0
171,sheeting,K11,0
172,sheeting,K12,0
173,sheeting,K13,0
174,sheeting,K14,0
175,sheeting,K15,0
176,sheetingeave,K16,1
177,sheetingeave,L1,2
178,sheeting,L2,0
179,sheeting,L3,0
180,sheeting,L4,0
181,sheeting,L5,0
182,sheeting,L6,0
183,sheeting,L7,0
184,sheetingeave,L8,1
185,sheetingeave,L9,2
186,sheeting,L10,0
187,sheeting,L11,0
188,sheeting,L12,0
189,sheeting,L13,0
190,sheeting,L14,0
191,sheeting,L15,0
192,sheetingeave,L16,1
193,sheetingeave,M1,2
194,sheeting,M2,0
195,sheeting,M3,0
196,sheeting,M4,0
197,sheeting,M5,0
198,sheeting,M6,0
199,sheeting,M7,0
200,sheetingeave,M8,1
201,sheetingeave,M9,2
202,sheeting,M10,0
203,sheeting,M11,0
204,sheeting,M12,0
205,sheeting,M13,0
206,sheeting,M14,0
207,sheeting,M15,0
208,sheetingeave,M16,1
209,sheetingeave,N1,2
210,sheeting,N2,0
211,sheeting,N3,0
212,sheeting,N4,0
213,sheeting,N5,0
214,sheeting,N6,0
215,sheeting,N7,0
216,sheetingeave,N8,1
217,sheetingeave,N9,2
218,sheeting,N10,0
219,sheeting,N11,0
220,sheeting,N12,0
221,sheeting,N13,0
222,sheeting,N14,0
223,sheeting,N15,0
224,sheetingeave,N16,1
225,sheetingeave,O1,2
226,sheeting,O2,0
227,sheeting,O3,0
228,sheeting,O4,0
229,sheeting,O5,0
230,sheeting,O6,0
231,sheeting,O7,0
232,sheetingeave,O8,1
233,sheetingeave,O9,2
234,sheeting,O10,0
235,sheeting,O11,0
236,sheeting,O12,0
237,sheeting,O13,0
238,sheeting,O14,0
239,sheeting,O15,0
240,sheetingeave,O16,1
241,sheetingeave,P1,2
242,sheeting,P2,0
243,sheeting,P3,0
244,sheeting,P4,0
245,sheeting,P5,0
246,sheeting,P6,0
247,sheeting,P7,0
248,sheetingeave,P8,1
249,sheetingeave,P9,2
250,sheeting,P10,0
251,sheeting,P11,0
252,sheeting,P12,0
253,sheeting,P13,0
254,sheeting,P14,0
255,sheeting,P15,0
256,sheetingeave,P16,1
257,sheetingeave,Q1,2
258,sheeting,Q2,0
259,sheeting,Q3,0
260,sheeting,Q4,0
261,sheeting,Q5,0
262,sheeting,Q6,0
263,sheeting,Q7,0
264,sheetingeave,Q8,1
265,sheetingeave,Q9,2
266,sheeting,Q10,0
267,sheeting,Q11,0
268,sheeting,Q12,0
269,sheeting,Q13,0
270,sheeting,Q14,0
271,sheeting,Q15,0
272,sheetingeave,Q16,1
273,sheetingeave,R1,2
274,sheeting,R2,0
275,sheeting,R3,0
276,sheeting,R4,0
277,sheeting,R5,0
278,sheeting,R6,0
279,sheeting,R7,0
280,sheetingeave,R8,1
281,sheetingeave,R9,2
282,sheeting,R10,0
283,sheeting,R11,0
284,sheeting,R12,0
285,sheeting,R13,0
286,sheeting,R14,0
287,sheeting,R15,0
288,sheetingeave,R16,1
289,sheetingeave,S1,2
290,sheeting,S2,0
291,sheeting,S3,0
292,sheeting,S4,0
293,sheeting,S5,0
294,sheeting,S6,0
295,sheeting,S7,0
296,sheetingeave,S8,1
297,sheetingeave,S9,2
298,sheeting,S10,0
299,sheeting,S11,0
300,sheeting,S12,0
301,sheeting,S13,0
302,sheeting,S14,0
303,sheeting,S15,0
304,sheetingeave,S16,1
305,sheetingeave,T1,2
306,sheeting,T2,0
307,sheeting,T3,0
308,sheeting,T4,0
309,sheeting,T5,0
310,sheeting,T6,0
311,sheeting,T7,0
312,sheetingeave,T8,1
313,sheetingeave,T9,2
314,sheeting,T10,0
315,sheeting,T11,0
316,sheeting,T12,0
317,sheeting,T13,0
318,sheeting,T14,0
319,sheeting,T15,0
320,sheetingeave,T16,1
321,sheetingeave,U1,2
322,sheeting,U2,0
323,sheeting,U3,0
324,sheeting,U4,0
325,sheeting,U5,0
326,sheeting,U6,0
327,sheeting,U7,0
328,sheetingeave,U8,1
329,sheetingeave,U9,2
330,sheeting,U10,0
331,sheeting,U11,0
332,sheeting,U12,0
333,sheeting,U13,0
334,sheeting,U14,0
335,sheeting,U15,0
336,sheetingeave,U16,1
337,sheetingeave,V1,2
338,sheeting,V2,0
339,sheeting,V3,0
340,sheeting,V4,0
341,sheeting,V5,0
342,sheeting,V6,0
343,sheeting,V7,0
344,sheetingeave,V8,1
345,sheetingeave,V9,2
346,sheeting,V10,0
347,sheeting,V11,0
348,sheeting,V12,0
349,sheeting,V13,0
350,sheeting,V14,0
351,sheeting,V15,0
352,sheetingeave,V16,1
353,sheetingcorner,W1,2
354,sheetinggable,W2,0
355,sheetinggable,W3,0
356,sheetinggable,W4,0
357,sheetinggable,W5,0
358,sheetinggable,W6,0
359,sheetinggable,W7,0
360,sheetingcorner,W8,1
361,sheetingcorner,W9,2
362,sheetinggable,W10,0
363,sheetinggable,W11,0
364,sheetinggable,W12,0
365,sheetinggable,W13,0
366,sheetinggable,W14,0
367,sheetinggable,W15,0
368,sheetingcorner,W16,1
369,battencorner,A1,2
370,battenend,A2,2
371,battenend,A3,2
372,battenend,A4,2
373,battenend,A5,2
374,battenend,A6,2
375,battenend,A7,2
376,battencorner,A8,2
377,battencorner,A9,2
378,battenend,A10,2
379,battenend,A11,2
380,battenend,A12,2
381,battenend,A13,2
382,battenend,A14,2
383,battenend,A15,2
384,battencorner,A16,2
385,batteneave,B1,0
386,batten,B2,0
387,batten,B3,0
388,batten,B4,0
389,batten,B5,0
390,batten,B6,0
391,batten,B7,0
392,batteneave,B8,0
393,batteneave,B9,0
394,batten,B10,0
395,batten,B11,0
396,batten,B12,0
397,batten,B13,0
398,batten,B14,0
399,batten,B15,0
400,batteneave,B16,0
401,batteneave,C1,0
402,batten,C2,0
403,batten,C3,0
404,batten,C4,0
405,batten,C5,0
406,batten,C6,0
407,batten,C7,0
408,batteneave,C8,0
409,batteneave,C9,0
410,batten,C10,0
411,batten,C11,0
412,batten,C12,0
413,batten,C13,0
414,batten,C14,0
415,batten,C15,0
416,batteneave,C16,0
417,batteneave,D1,0
418,batten,D2,0
419,batten,D3,0
420,batten,D4,0
421,batten,D5,0
422,batten,D6,0
423,batten,D7,0
424,batteneave,D8,0
425,batteneave,D9,0
426,batten,D10,0
427,batten,D11,0
428,batten,D12,0
429,batten,D13,0
430,batten,D14,0
431,batten,D15,0
432,batteneave,D16,0
433,batteneave,E1,0
434,batten,E2,0
435,batten,E3,0
436,batten,E4,0
437,batten,E5,0
438,batten,E6,0
439,batten,E7,0
440,batteneave,E8,0
441,batteneave,E9,0
442,batten,E10,0
443,batten,E11,0
444,batten,E12,0
445,batten,E13,0
446,batten,E14,0
447,batten,E15,0
448,batteneave,E16,0
449,batteneave,F1,0
450,batten,F2,0
451,batten,F3,0
452,batten,F4,0
453,batten,F5,0
454,batten,F6,0
455,batten,F7,0
456,batteneave,F8,0
457,batteneave,F9,0
458,batten,F10,0
459,batten,F11,0
460,batten,F12,0
461,batten,F13,0
462,batten,F14,0
463,batten,F15,0
464,batteneave,F16,0
465,batteneave,G1,0
466,batten,G2,0
467,batten,G3,0
468,batten,G4,0
469,batten,G5,0
470,batten,G6,0
471,batten,G7,0
472,batteneave,G8,0
473,batteneave,G9,0
474,batten,G10,0
475,batten,G11,0
476,batten,G12,0
477,batten,G13,0
478,batten,G14,0
479,batten,G15,0
480,batteneave,G16,0
481,batteneave,H1,0
482,batten,H2,0
483,batten,H3,0
484,batten,H4,0
485,batten,H5,0
486,batten,H6,0
487,batten,H7,0
488,batteneave,H8,0
489,batteneave,H9,0
490,batten,H10,0
491,batten,H11,0
492,batten,H12,0
493,batten,H13,0
494,batten,H14,0
495,batten,H15,0
496,batteneave,H16,0
497,batteneave,I1,0
498,batten,I2,0
499,batten,I3,0
500,batten,I4,0
501,batten,I5,0
502,batten,I6,0
503,batten,I7,0
504,batteneave,I8,0
505,batteneave,I9,0
506,batten,I10,0
507,batten,I11,0
508,batten,I12,0
509,batten,I13,0
510,batten,I14,0
511,batten,I15,0
512,batteneave,I16,0
513,batteneave,J1,0
514,batten,J2,0
515,batten,J3,0
516,batten,J4,0
517,batten,J5,0
518,batten,J6,0
519,batten,J7,0
520,batteneave,J8,0
521,batteneave,J9,0
522,batten,J10,0
523,batten,J11,0
524,batten,J12,0
525,batten,J13,0
526,batten,J14,0
527,batten,J15,0
528,batteneave,J16,0
529,batteneave,K1,0
530,batten,K2,0
531,batten,K3,0
532,batten,K4,0
533,batten,K5,0
534,batten,K6,0
535,batten,K7,0
536,batteneave,K8,0
537,batteneave,K9,0
538,batten,K10,0
539,batten,K11,0
540,batten,K12,0
541,batten,K13,0
542,batten,K14,0
543,batten,K15,0
544,batteneave,K16,0
545,batteneave,L1,0
546,batten,L2,0
547,batten,L3,0
548,batten,L4,0
549,batten,L5,0
550,batten,L6,0
551,batten,L7,0
552,batteneave,L8,0
553,batteneave,L9,0
554,batten,L10,0
555,batten,L11,0
556,batten,L12,0
557,batten,L13,0
558,batten,L14,0
559,batten,L15,0
560,batteneave,L16,0
561,batteneave,M1,0
562,batten,M2,0
563,batten,M3,0
564,batten,M4,0
565,batten,M5,0
566,batten,M6,0
567,batten,M7,0
568,batteneave,M8,0
569,batteneave,M9,0
570,batten,M10,0
571,batten,M11,0
572,batten,M12,0
573,batten,M13,0
574,batten,M14,0
575,batten,M15,0
576,batteneave,M16,0
577,batteneave,N1,0
578,batten,N2,0
579,batten,N3,0
580,batten,N4,0
581,batten,N5,0
582,batten,N6,0
583,batten,N7,0
584,batteneave,N8,0
585,batteneave,N9,0
586,batten,N10,0
587,batten,N11,0
588,batten,N12,0
589,batten,N13,0
590,batten,N14,0
591,batten,N15,0
592,batteneave,N16,0
593,batteneave,O1,0
594,batten,O2,0
595,batten,O3,0
596,batten,O4,0
597,batten,O5,0
598,batten,O6,0
599,batten,O7,0
600,batteneave,O8,0
601,batteneave,O9,0
602,batten,O10,0
603,batten,O11,0
604,batten,O12,0
605,batten,O13,0
606,batten,O14,0
607,batten,O15,0
608,batteneave,O16,0
609,batteneave,P1,0
610,batten,P2,0
611,batten,P3,0
612,batten,P4,0
613,batten,P5,0
614,batten,P6,0
615,batten,P7,0
616,batteneave,P8,0
617,batteneave,P9,0
618,batten,P10,0
619,batten,P11,0
620,batten,P12,0
621,batten,P13,0
622,batten,P14,0
623,batten,P15,0
624,batteneave,P16,0
625,batteneave,Q1,0
626,batten,Q2,0
627,batten,Q3,0
628,batten,Q4,0
629,batten,Q5,0
630,batten,Q6,0
631,batten,Q7,0
632,batteneave,Q8,0
633,batteneave,Q9,0
634,batten,Q10,0
635,batten,Q11,0
636,batten,Q12,0
637,batten,Q13,0
